The Hotel Alessandra,832-289-3223
Flower Mound Plastic Surgery & Aesthetic Spa,972-691-7900
The Med Spa of Flower Mound,972-523-1399
McGuiness Dermatology,972-316-4555
Beverly Hills Wellness Spa,972-355-2777
Woodhouse Day Spa,817-438-1772
Greer Dermatology,(817) 550-7125
Studio 360 Med Spa,972-318-3600
PDP of Texas PLLC - Southlake Dermatology,214-751-2381
Sedo Laser,214-686-7826
"Trinity Aesthetics & Laser, LLP",817-310-6624
Hidden Door Med Spa Skinceuticals Aesthetic Center,817-988-3335
Hidden Door Med Spa Southlake,817-488-8848
Spa on the Square,817-488-8848
KE Eye Centers of TX,817-717-6364
Serendipity Day Spa,678-557-4964
Corinthian Wellness Spa,817-416-9366
Southlake Plastic Surgery,(817) 442-8900
Executive Health and Wellness of Texas,817-581-7246
North Texas Plastic Surgery,817-416-8080
Eclipse Medical Spa,817-581-4354
Elysium Salon & Spa,973-694-1555
Carrie Morris MD,972-922-3016
Skin RX by Roxanne,682-738-0466
Lifestream Spa & Boutique,972-304-6400
The Paragon Plastic Surgery & Med Spa,817-473-2120
REFINEU Med Spa,817-202-5626
Hidden Door Med Spa Roanoake,682-831-1400
Compassion Dermatology PLCC,817-380-5911
Calista Skin and Laser,817-488-3838
Heritage Family Medicine and Aesthetics,817-354-7999
ME-HD,817-741-6111
Beautopia,817-888-4815
Hospital Growth LLC DBA Center for Aesthetic Surgery,817-503-2442
Trinity Aesthetics and Laser,817-310-6624
Eye LaLa,817-919-3849
Argyle Med Spa & Wellness Center,512-308-5757
Derma Clinic,817-337-5888
Beverly Hills Rejuvenation Center,
Couture Skin Solutions LLC,469-644-9964 
Lisa Rux,940-231-5636
Northeast Tarrant Dermatology,817-281-7546
Four Season Dallas,
Four Seasons Resort and Club- Dallas,972-717-0700
Melt Spa and Massage,623-414-0447
GOH Medical,214-543-5569
Denton Facial Spa,940-368-6241
Skin MD,817-595-4500
Salons on the Hill,817-995-9270
Skinique,817-484-0300
Skin By Lucy Med,972-854-2267
MD Skincare and Laseer,281-201-8939
MD Weight Loss,281-201-8243
Solace Medspa,832-808-7095
Beyond Beaute,281.930.1734
Blow Out Salon and Spa,713-478-1998
Akoya Spa,281-488-8797
Beyond Beaute,281.286.7700
Renew You,832-247-1099
Acqua Med Spa - Dr. Ciaravino,713-627-1200
Coastal Plastic Surgery,281-316-8888
Coastal Plastic Surgery,281-282-9300
Clariday Aesthetics,281-948-4115
Bergamos Spa Retreat,281-992-3775
Fab Med Spa,281-819-1565
Crave Med Spa,832-777-7788
The Skin Gallery,281-841-0508
Shannon McIntire Skin Care,713-254-3760
Life Time Fitness,832-445-3924
"B-Youtiful Face and Body Med Spa, LLC",832-980-0724
The Hotel Alessandra,832-289-3223
Alive Med Spa,713-539-0933
The Vein Institute & Medi Spa,
Face It MedSpa,281-360-1342
"Beverly Hills Wellness Spa III, LLC",254-462-7191
Woodhouse Cedar Park,512-773-1766
Cedar Park Aesthetics,512-260-3444
Ideal Weight & Skin,512-914-3264
Beautiful Solutions,512-343-7546
Blonde Faith Salon,512-771-7393
Hall Plastic Surgery & Rejuvenation Center,512-327-5337
Life Time Fitness,512-634-4724
Jon Ric Austin,254-220-7511
Wrinkle Free MD Med Spa & Wellness Clinic,512-943-9898
Clean Slate Waxing Lounge,512-792-9955
OrganicSpa Massage,512-627-7243
Halina European Skin Care,512-246-9700
Westlake Dermatology - Round Rock,512-583-3376
Elysian Plastic Surgery,330-472-4143
Facial Focus Cosmetic Surgery,512-717-9475
Halina European Day Spa,512-246-9700
Round Rock Skin Clinic,512-577-7422
"Viva Day Spas, Inc",512-300-2256
Steiner Ranch Dermatology,512-266-0007
Massage Sway,512-873-0999
Westlake Dermatology - North Austin,512-279-3376
Skin Care by Karey,512-217-5229
Cadiz Laser Spa,512-733-2639
Austin Cosmetic Surgery,512-350-3684
More Beautiful You,512-334-9917
"Elisabeth Potter, MD",512-893-5849
Face to Face Spa,512-215-8535
The Woodhouse Day Spa,512-306-1100
Woodhouse Day Spa- Austin,512-306-1100
Lillian Bradford,956-975-5960
7 Medspa,512-954-9651
Austin Skin Plus,512-850-8835
Spa Luxe,512-646-2255
Halina European Day Spa,512-452-3500
Halina European Skin Care,512-452-3500
Laser Lounge Med Spa,512-863-2118
Westlake Dermatology & Cosmetic Surgery,512-328-3376
Hall Plastic Surgery Center,512-327-5337
Fresh Dermatology,512-615-5600
Aesthetica MedSpa,512-899-2639
Red Stella,512-433-6762
Calm Skincare Studio,512-771-4950
AUSTEX Wellness and Medical Spa,512-524-9602
Viva Day Spa-35th ,512-361-1786
Body Tonic Med Spa,512-383-5204
Wink Medical Aesthetics,
Snyder Dermatology,512-533-9900
Zimmet Vein & Dermatology,512-485-7700
"Jennifer L. Walden , MD, PLLC",512-328-4100
Polished RX Skin Couture,800-681-7904
Image RX ,562-961-3668
Mays Wellness & Spa,562-596-1400
Queen Mary Spa & Salon,562-499-1754
Cape Cod Coiffures,562-209-3783
At The Powder Room,562-726-0548
Comprehensive Dermatology of Long Beach,562-256-9929
Opulence Wellness Spa,562-787-9982
Sunset Skin Boutique,661-301-4835
DermFx - Sunset Beach,562-592-5100
Salon Allure,562-429-9209
CAREER ACADEMY OF BEAUTY,714-897-3010
Belle Vie Wellness,562-865-0802
Your Spa,626-331-2348
O Skin Care,562-897-1445
Hairline,310-831-3221
Beyond Skin Care,310-735-5762
Stella Marie Skin Care,562-755-5263
LaVon Skin Care,562-402-7546
ProHealth Wellness Center,714-548-4300
Image Center,714-293-8030
Medical Dock,424-477-5579
Beach Skin MD,323-899-1741
Soft Glow Med Spa,424-305-4169
Monet's,310-497-6997
Hannah's Skin Studio,714-468-3400
"Allure Anti-Aging & Rejuvenation Center at Pacifica, Inc",(714) 804-5460
Allure Anti-Aging & Rejuvenation Center at Pacifica,714-804-5460
Vitalia Medspa,310-370-0008
Dani's Esthetics,714-969-1800
Main St. Day Spa,714-969-9968
Haven of Wellness,(714) 907-3146
"Marilou G. Cruz MD, Inc.",562-861-1245
"Her, Inc.",310-325-9400
Signature Med Spa by Su Sachar MD,310-602-1332
Equinox-Huntington Beach,657-215-4710
FACIALWORKS-Huntington Beach,949-877-1911
"Linda Swanson, MD",310-517-0931
Tikkun Holistic Skincare,310-375-7546
"James V. O'Connell, M.D.",310-639-4577
Coast Dermatology,310-890-3825
The Spa at South Bay Plastic Surgeons,310-784-0670
La Belle Med Spa,310-619-4670
Signature Brows & Skincare,562-412-5078
Signature Brows & Skincare Studio,562-412-5078
Naturopathy Spa & Wellness,424-376-7404
Hyatt Regency Huntington Beach,714-638-1234
Dermanoor,(714) 728-8000
Spa Fuzion,714-962-0888
Bella Vie Beauty Center,714-414-3118
Life Time Fitness,832-445-3924
Shannon McIntire Skin Care,713-254-3760
The Skin Gallery,281-841-0508
Crave Med Spa,832-777-7788
Face It MedSpa,281-360-1342
The Vein Institute & Medi Spa,
Christine's Salon,832-579-8980
Radiant Dermatology & Aesthetics,281973-4159
Humble Dermatology,281-707-6400
Kingwood Skin Essentials,832-777.6846
Optimal Aesthetic and Wellness Center,281-359-5749
Beautiful Faces,832-890-9399
Massage Heights Spring Creek,832-900-7222
Cilento MedSpa & Wellness,346-413-9313
New Horizons Wellness Center,281-419-5544
Sera Belle Spa and Salon,832-458-8523
Body by Lipo,832-529-1152
Heights Dermatology & Aesthetic Center,713-864-2659
Derma Solutions,281-743-2163
Ada's Skin Care,281-257-4465
MD Skincare and Laseer,281-201-8939
MD Weight Loss,281-201-8243
"B-Youtiful Face and Body Med Spa, LLC",832-980-0724
The Hotel Alessandra,832-289-3223
Flawless by Elite,(281) 803-8482
Woodlands Wellness & Cosmetic Center,281-362-0014
Medical Aesthetics and Laser,281-419-2220
Gill Dermatology,936-760-3373
The Lind Institute of Plastic Surgery,281-419-1177
Massage Heights Lake Woodlands ,832-900-7788
Woodhouse Day Spa- The Woodlands,281-374-8384
Glo Sun Spa Market Street,  713-545-1913
Beautiful Faces,281-419-0080
Rivela Plastic Surgery,281-681-3905
Spa810 - Houston,810-280-0245
AESTHETICS MANAGEMENT SERVICES LLC,713-522-5711
ZO Skin Centre - Houston,832-831-4933
The Village Spa,832-808-2584
Skinsense by Susie,281-380-7735
Beyond Beaute,281.930.1734
Flawless Studio,832-660-4476
TMH Physicians Organization,832-769-5600
Touch of Beauty Cosmedispa,832-248-8142
Woodlands Medical Aesthetics Institute,936-273-9053
Body Envy Med Spa,713-429-4212
Life Time Fitness - Champions,281-469-9300
Woodland Wellness & Cosmetic Center,281-362-0014
Q The Salon,713-807-0000
Royal Villa,713-884-0011
Alive Med Spa,713-539-0933
Med-Cure Anti-Aging and Skincare,713-776-3906
Sheetal's Skin Care Clinic,281-750-5967
"Bio Skin and Laser, LLC",281-325-0100
Woodhouse Day Spa- Sugarland,281-208-9119
Shanti Spa,281-725-8452
Sienna Dermatology,832-342-9700
Kalologie Medspa,281-265-0880
Forever Young and Slim Med Spa,713-435-9800
Beauty & Body Wellness Spa,281-277-0602
Lifetime Fitness,281-340-3100
Life Time Fitness,281-340-3100
Derma Glo Skincare,713-480-0740
The Art of Skin,832-863-2064
Facial Care,713-922-0822
Sugarland Face & Body,281-313-0555
Sugarland Fcae and Body,281-313-0555
DermSurgery Associates,713-669-9222
Asheni Med Spa,817-262-5650
Bellaire Dermatology Associates,713-661-4383
Glamour Plastic Surgery and Med Spa,713-766-4643
Mink Lash Spa,832-368-7219
iGlo Medical Spa,281-496-2431
Helena's Day Spa,713-954-5400
Glow Medical Aesthetics,713-665-4569
Natura Med Spa,713-436-0148
Galleria Aesthetics,713-552-1122
MedSkin Youth,281-565-0009
Village Dermatology,713-952-8400
The Belage Center PLLC,713-978-7878
Ovation Med Spa,713-999-4027
Kathy Haney,(281) 850-9894
Massage Heights San Felipe Voss,713-278-7529
MIA Plastic Surgery,832-804-8992
Suzanne Bruce & Associates,713-850-0470
Share Wellness & Medispa,713-621-8200
You Only Younger,281-937-7537
Clearstone Medical Spa,832-460-4200
Hiatus Spa + Retreat Houston,713-470-0990
Beautique Day Spa & Salon,713-526-1126
Glo Sun Spa ,(713) 545-1913
Bella Rinova,713-572-0022
Michaelyndon Inc.,713 963 9121
Sensia Studio & Japanese Day Spa,713.627.0070
Icore Aesthetics,956-251-0798
Synergy Day Spa,713-474-7220
Institue of Anti-Aging Medicine,713-807-1000
Perfect Skin Med Spa,713-521-9990
Goodskin Laser Source,713-339-2600
Chrysalis Skin & Body Rejuvenation,713-522-2111
Yana Skin Care,281-306-1999
Cosmetic Skin Institute DC,202-965-7546
The Ritz Carlton- Georgetown,202-912-4100
Skin DC,703-214-6496
Graham Webb Academy,703-243-9322
The Spa at the Sports Club LA,202-974-6601
"Yolanda Holmes, MD",(202) 737-6800
Javan Wellness,405-308-2812
Milk + Honey Medical Skincare Studio,435-901-8665
Skin Solutions with Jenn,202-422-8170
Javan Wellness,(202) 868-5993
Cultura Med Spa,202-237-9292
Capital Laser & Skin Care,301-798-9699
Tamjidi Skin Institute,301-652-4828
Jenny Luu Skin Care,301-533-7546
Jenny Luu Skin Care,202-344-5144
Center for Plastic Surgery,301-652-7700
Jules Feledy,540-891-0040
DermaGlow Laser,703-344-5445
Chevy Chase Facial Plastic Surgery,301-652-8191
Bethseda Salt Cave - By Cynthia Williams,707-486-2224
Cynthia Wilkins,301-312-6377
Nova Medical Skin Care,703-237-7546
Advanced Dermatology and Cosmetic Surgery-Alexandria,(703) 370-0073
Esthetic Skin Care,571-344-1666
1 Parker Medical Group,301-686-8500
New Wave at the Promenade,202-262-8421
Sugar House Day Spa & Salon,703-549-9940
Sarah Akram Skincare,703-531-9350
Par Laser,202-714-4411
Johara Aljoharah,202-868-1871
Ninotch: an urban retreat,301-913-0345
The Ritz Carlton -Tyson's Corner,703-744-3951
"Christopher C. Chang, MD",703-945-1700
Tamjidi Skin Institute,703-345-6677
Nova Surgicare,703-288-4495
Gynecology & Wellness Center,703-448-6070
Elite Medical Spa,571-620-9845
Sechoir Beauty Bar,703-698-8162
Anne Arundel Dermatology- JOL,301-530-4800
The Dermatology Center,301-968-1200
MGM National Harbor,844-346-4664
Infinite Beauty,561-880-7949
Bitar Cosmetic Surgery Institute Fairfax,703-206-0056
Modern Body Contouring & Laser Center,703-740-8333
Ann's Spa,571-230-2430
The Plastic Surgery Institute of Washington Bethesda,301-881-7770
Courted at The St. James,703-239-6910
The Woodhouse Day Spa,240-317-3114
Miracle Hands,703-256-2228
Anne Arundel Dermatology-Rockville,
Skin MD,817-595-4500
Salons on the Hill,817-995-9270
Northeast Tarrant Dermatology,817-281-7546
Eye LaLa,817-919-3849
Trinity Aesthetics and Laser,817-310-6624
Hospital Growth LLC DBA Center for Aesthetic Surgery,817-503-2442
Beautopia,817-888-4815
Calista Skin and Laser,817-488-3838
Skinique,817-484-0300
Melt Spa and Massage,623-414-0447
ME-HD,817-741-6111
Compassion Dermatology PLCC,817-380-5911
Derma Clinic,817-337-5888
The Paragon Plastic Surgery & Med Spa,817-473-2120
Jeana Wilkins,682-465-4657
Heritage Family Medicine and Aesthetics,817-354-7999
Skin RX by Roxanne,682-738-0466
Carrie Morris MD,972-922-3016
North Texas Plastic Surgery,817-416-8080
REFINEU Med Spa,817-202-5626
Southlake Plastic Surgery,(817) 442-8900
Corinthian Wellness Spa,817-416-9366
Hidden Door Med Spa Skinceuticals Aesthetic Center,817-988-3335
Spa on the Square,817-488-8848
Hidden Door Med Spa Southlake,817-488-8848
Hiatus Spa + Retreat Fort Worth,817-982-4200
Magnolia Ave Med Spa,817-840-5545
Serendipity Day Spa,678-557-4964
KE Eye Centers of TX,817-717-6364
West Magnolia Plastic Surgery,817-870-4833
Eclipse Medical Spa,817-581-4354
Elysium Salon & Spa,973-694-1555
Sedo Laser,214-686-7826
Robert G Anderson Medical Spa,817-870-4616
PDP of Texas PLLC - Southlake Dermatology,214-751-2381
Bex Laser Aesthetix,682-227-6110
Renew Day Spa,817-228-2425
Ethridge Plastic Surgery,817-921-5566
Greer Dermatology,(817) 550-7125
Physician's Ageless Solutions,682-208-1955
JEM Aesthetics,682-224-3351
Executive Health and Wellness of Texas,817-581-7246
The Woodhouse Day Spa,817-338-1772
Woodhouse Spa - Fort Worth,206-406-7135
Heather Celeste Aesthetics & Wellness,682-215-2020
Hide Away Spa and Salon Boat Club Location,(817) 238-0200
Resurgence Wellness,817-402-0013
Hidden Door Med Spa Roanoake,682-831-1400
"Trinity Aesthetics & Laser, LLP",817-310-6624
Dee Dee Ruelas,817-614-0812
Opulence Wellness Spa,562-787-9982
Comprehensive Dermatology of Long Beach,562-256-9929
At The Powder Room,562-726-0548
Salon Allure,562-429-9209
Mays Wellness & Spa,562-596-1400
Belle Vie Wellness,562-865-0802
Your Spa,626-331-2348
O Skin Care,562-897-1445
Image RX ,562-961-3668
Polished RX Skin Couture,800-681-7904
LaVon Skin Care,562-402-7546
Queen Mary Spa & Salon,562-499-1754
Cape Cod Coiffures,562-209-3783
Stella Marie Skin Care,562-755-5263
Beyond Skin Care,310-735-5762
"Marilou G. Cruz MD, Inc.",562-861-1245
Signature Brows & Skincare,562-412-5078
Signature Brows & Skincare Studio,562-412-5078
CAREER ACADEMY OF BEAUTY,714-897-3010
ProHealth Wellness Center,714-548-4300
Sunset Skin Boutique,661-301-4835
DermFx - Sunset Beach,562-592-5100
Hairline,310-831-3221
Soft Glow Med Spa,424-305-4169
Vitalia Medspa,310-370-0008
Medical Dock,424-477-5579
"Her, Inc.",310-325-9400
Signature Med Spa by Su Sachar MD,310-602-1332
"Linda Swanson, MD",310-517-0931
"James V. O'Connell, M.D.",310-639-4577
The Spa at South Bay Plastic Surgeons,310-784-0670
Coast Dermatology,310-890-3825
Image Center,714-293-8030
Make Me Up Sam,516-350-2509
Tikkun Holistic Skincare,310-375-7546
La Belle Med Spa,310-619-4670
Naturopathy Spa & Wellness,424-376-7404
Beach Skin MD,323-899-1741
Skin Perfect Medical Aesthetics,562-464-5777
Varicose Vein Laser Center & Spa,323-722-0312
"Zelda Billingy, M.D./California Mesotherapy & Laser Institute",323-726-0608
DermFx - Redondo Beach,310-316-2100
Eleven 19,657-217-5755
Marcus Medical Spa,310-316-1400
Aesthetica,310-316-6700
Hannah's Skin Studio,714-468-3400
"Allure Anti-Aging & Rejuvenation Center at Pacifica, Inc",(714) 804-5460
Dermanoor,(714) 728-8000
Allure Anti-Aging & Rejuvenation Center at Pacifica,714-804-5460
Allison Mockett,310-944-2826
Comprehensive Dermatology of Long Beach,562-256-9929
At The Powder Room,562-726-0548
Stella Marie Skin Care,562-755-5263
Beyond Skin Care,310-735-5762
Opulence Wellness Spa,562-787-9982
Salon Allure,562-429-9209
Vitalia Medspa,310-370-0008
Soft Glow Med Spa,424-305-4169
Signature Brows & Skincare,562-412-5078
Signature Brows & Skincare Studio,562-412-5078
Mays Wellness & Spa,562-596-1400
Make Me Up Sam,516-350-2509
Belle Vie Wellness,562-865-0802
"Marilou G. Cruz MD, Inc.",562-861-1245
Your Spa,626-331-2348
"Her, Inc.",310-325-9400
Signature Med Spa by Su Sachar MD,310-602-1332
Queen Mary Spa & Salon,562-499-1754
The Spa at South Bay Plastic Surgeons,310-784-0670
O Skin Care,562-897-1445
"Linda Swanson, MD",310-517-0931
"James V. O'Connell, M.D.",310-639-4577
Hairline,310-831-3221
Coast Dermatology,310-890-3825
La Belle Med Spa,310-619-4670
Tikkun Holistic Skincare,310-375-7546
Naturopathy Spa & Wellness,424-376-7404
LaVon Skin Care,562-402-7546
Image RX ,562-961-3668
Polished RX Skin Couture,800-681-7904
DermFx - Redondo Beach,310-316-2100
Allison Mockett,310-944-2826
Kim Tran,310-871-2029
Bay Club - SANCTUARY SPA- El Segundo,310-643-6569
Barbarino Surgical Arts,310-402-2255
SkinMedix,310-374-6600
Manhattan Dermatology,310-546-1188
Aesthetica,310-316-6700
Marcus Medical Spa,310-316-1400
El Segundo Dermatology,310-906-2788
Inner Glimmer,(310) 963-6802
Medical Dock,424-477-5579
OrangeTwist- South Bay,310-647-5694
Dermstore,310-526-0008
LA Skincare Center,
LA Skin Care,310-414-9761
Trilogy Spa,310-760-0044
Cape Cod Coiffures,562-209-3783
Sand Spa,(310) 921-8231
Varicose Vein Laser Center & Spa,323-722-0312
Rejive Med Spa Rockwell,844-735-4831
Rockwall Dermatology,469-377-1700
The Retreat Restorative & Aesthetics,713-302-3069
Juvanew Medspa,214-771-4611
Rockwall Aesthetic Center,972-722-9911
Skin Envy - Rockwall,972-722-3689
Glo Sun Spa Rockwall,
Facelogic Spa,972-424-3323
McGuiness Dermatology,972-316-4555
Revive Med Spa,972-422-4040
Premier Med Spa,214-730-6300
"Glow With Me, LLC",870-530-2774
McGuiness Dermatology - Richardson,972-316-4555
My Spa & Laser Center,972-971-5273
Ultimate Image MedSpa,785-221-5380
Lai Aesthetics,(504) 453-9288
Elevate Med Spa,214-696-9193
"Preventive Wellness-Beyond Health, PA",214-750-7374
Zap-It Med Spa,214-600-0707
Skinsence Medispa & Salon,972-564-4555
My Spa & Laser Center,972-564-1199
The Bloom Medical Spa,972-331-7727
North Dallas Dermatololgy Associates,214-420-7070
Ultimate Image,972-800-2127
Total Med Solutions Dallas,214-987-9200
Anh's Skin Health,214-606-0242
Bella Medspa & Aesthetics,214-605-6958
Elite Medical DFW,972-442-4500
Vitae Med Spa-Dallas,214-983-2000
"Ramsey Choucair, MD",214-390-0011
Austin and Reddick Dermatology,214-226-2285
Epicentre - Park Lane,214-887-1577
RENEW BEAUTY,214-369-1600
McGuiness Dermatology,972-316-4555
Pure Spa & Salon,214-827-4200
Love Glow Sudio LLC,469-223-1349
Life Time Fitness,214-624-5824
Dallas Skin Institute,972-503-5274
Evanesque Med Spa,214-575-5252
Blush Aesthetics and Skincare,214-739-5603
Beaus Clinical Skin Care,214-272-7258
Blue Lotus Skincare LLC,469-338-1417
Fresh Faces,972-816-1857
Shellie Liptak Advanced Skincare and Rejuvenation,214-535-2406
"PDP of Texas, PLLC - Dallas Associated Dermatologist ",214-751-2381
Dallas Center For Dermatology & Aesthetics,214-631-8546
Bella MD,214-378-6500
Bader Facial Plastic Surgery,214-501-2021
Mara's Med Spa, (214) 373-9500
Surface Skin Spa,972-599-2900
S 3  Laser & Aesthetics,956-893-0786
Skin Perfections Medical Spa,956-542-2325
Round Rock Skin Clinic,512-577-7422
Halina European Day Spa,512-246-9700
Westlake Dermatology - North Austin,512-279-3376
Westlake Dermatology - Round Rock,512-583-3376
Halina European Skin Care,512-246-9700
"Viva Day Spas, Inc",512-300-2256
Massage Sway,512-873-0999
Elysian Plastic Surgery,330-472-4143
Cadiz Laser Spa,512-733-2639
OrganicSpa Massage,512-627-7243
Life Time Fitness,512-634-4724
Lillian Bradford,956-975-5960
Blonde Faith Salon,512-771-7393
More Beautiful You,512-334-9917
7 Medspa,512-954-9651
Clean Slate Waxing Lounge,512-792-9955
Hall Plastic Surgery & Rejuvenation Center,512-327-5337
Austin Skin Plus,512-850-8835
"Elisabeth Potter, MD",512-893-5849
Halina European Day Spa,512-452-3500
Halina European Skin Care,512-452-3500
Red Stella,512-433-6762
Beautiful Solutions,512-343-7546
"Beverly Hills Wellness Spa III, LLC",254-462-7191
Calm Skincare Studio,512-771-4950
Ideal Weight & Skin,512-914-3264
"Mueller Surgery Center, LLC",512-478-6398
Woodhouse Cedar Park,512-773-1766
Cedar Park Aesthetics,512-260-3444
Westlake Dermatology - Lamar,512-328-3376
Wellspring Plastic Surgery,512-600-2888
Toccare Medical Spa,512-533-7317
Mint and Thyme,512-436-0817
Zimmet Vein & Dermatology,512-485-7700
Snyder Dermatology,512-533-9900
Viva Day Spa-35th ,512-361-1786
NewU Plastic Surgery,512-478-6398
Wrinkle Free MD Med Spa & Wellness Clinic,512-943-9898
Face to Face Spa,512-215-8535
Neu Skin,512-680-5974
Woodhouse Day Spa- Austin,512-306-1100
The Woodhouse Day Spa,512-306-1100
Aloe Skin & Body ,512-344-9394
Spa Luxe,512-646-2255
Alite Laser,512-771-2553
Facial Focus Cosmetic Surgery,512-717-9475
Laser Lounge Med Spa,512-863-2118
Vietver,512-554-8735
Bella Salon Austin,512-474-5999
JW Mariott Austin,512-474-4777
Beauty Lounge Permanent Makeup & Med Spa,(760) 877-8747
Sugar San Diego,971-645-3993
Brooke Yellen Beauty,760-688-8218
Vista Family Health Center,760-941-7050
Terri's SkinCare,760-855-7421
Equinox Fitness,760.268.9657
Skin Care & Artistry by Melissa,760-716-4110
Omni La Costa Resort & Spa,602-363-9798
Park Hyatt Aviara,760-448-1234
Quattra Via,619-697-1760
About Face Esthetics,760-944-4211
Specialized SkinCare,619-865-9908
Staci Christie Skin Care,760-633-0123
Skin In The Ranch ,(619) 381-0011
Nouvelle Aesthetics,619-991-9922
Bella D'ora Spa + Salon,760-438-7404
Stengler Center for Integrative Medicine,760-274-2377
Skincare by Sheryll,619-818-0123
Doctor Ni,858-527-9888
Be by Julie,760-815-1203
Jennifer Whittaker Skincare at Bombshell Salon & Skincare,760-230-1400
Polished Beauty Bar,858-829-2124
Kay Corden Skincare,619-518-7477
Fairbanks Pharmacy,858-759-6634
PASH Skin Studio,760-777-2994
Savvy Skin Spa,858-755-5754
Fika Skin,(760) 715-4555
Love to Live Spa,858-242-7008
Cary West,858-354-3736
Zen Spa - San Diego,858-521-0088
Revive Salon & Spa- Carmel Valley,619-293-7233
Only She Knows Medi-Spa,619-248-4053
Allureous,858-240-7097
Skin Care by VY,858-397-3843
7 Pearls Spa by Manaar,858-848-7727
All About Me Medical Day Spa,858-679-8699
Euro-Fit Skin & Body Therapy,760-728-5615
Skincare by Shan,949-302-3016
ReNous Skin & Body Spa,858-755-5754
Elena T Beauty,858-437-1845
Skin and Brows by Tina,858-449-8811
Bellus Academy,858-748-1490
Atossa Medical Spa,214-796-9936
Carmel Valley Facial Plastic Surgery,858-259-3223
Browology Studio,858-285-0285
Pala Casino Resort and Spa,877-946-7252
Scripps Ranch Dermatology & M Beauty by Dr. Tess,858-689-4990
Chi Energy,858-888-3330
M Beauty Clinic by Dr. Tess,858-689-4990
Fallbrook Wellness Spa,760-723-8264
At The Powder Room,562-726-0548
Comprehensive Dermatology of Long Beach,562-256-9929
Stella Marie Skin Care,562-755-5263
Beyond Skin Care,310-735-5762
Queen Mary Spa & Salon,562-499-1754
Opulence Wellness Spa,562-787-9982
Mays Wellness & Spa,562-596-1400
Hairline,310-831-3221
Soft Glow Med Spa,424-305-4169
Salon Allure,562-429-9209
Image RX ,562-961-3668
Polished RX Skin Couture,800-681-7904
Vitalia Medspa,310-370-0008
Medical Dock,424-477-5579
"Her, Inc.",310-325-9400
Signature Med Spa by Su Sachar MD,310-602-1332
"Linda Swanson, MD",310-517-0931
"James V. O'Connell, M.D.",310-639-4577
The Spa at South Bay Plastic Surgeons,310-784-0670
Belle Vie Wellness,562-865-0802
Coast Dermatology,310-890-3825
Tikkun Holistic Skincare,310-375-7546
La Belle Med Spa,310-619-4670
Cape Cod Coiffures,562-209-3783
Your Spa,626-331-2348
Naturopathy Spa & Wellness,424-376-7404
Make Me Up Sam,516-350-2509
O Skin Care,562-897-1445
LaVon Skin Care,562-402-7546
Marcus Medical Spa,310-316-1400
Aesthetica,310-316-6700
DermFx - Redondo Beach,310-316-2100
Sunset Skin Boutique,661-301-4835
Signature Brows & Skincare,562-412-5078
Signature Brows & Skincare Studio,562-412-5078
"Marilou G. Cruz MD, Inc.",562-861-1245
DermFx - Sunset Beach,562-592-5100
Allison Mockett,310-944-2826
Kim Tran,310-871-2029
CAREER ACADEMY OF BEAUTY,714-897-3010
Barbarino Surgical Arts,310-402-2255
SkinMedix,310-374-6600
Dermstore,310-526-0008
Manhattan Dermatology,310-546-1188
Inner Glimmer,(310) 963-6802
Bay Club - SANCTUARY SPA- El Segundo,310-643-6569
ProHealth Wellness Center,714-548-4300
OrangeTwist- South Bay,310-647-5694
Trilogy Spa,310-760-0044
El Segundo Dermatology,310-906-2788
Heritage Family Medicine and Aesthetics,817-354-7999
REFINEU Med Spa,817-202-5626
JEM Aesthetics,682-224-3351
Physician's Ageless Solutions,682-208-1955
Eye LaLa,817-919-3849
Beautopia,817-888-4815
Hospital Growth LLC DBA Center for Aesthetic Surgery,817-503-2442
Trinity Aesthetics and Laser,817-310-6624
Calista Skin and Laser,817-488-3838
Northeast Tarrant Dermatology,817-281-7546
Eclipse Medical Spa,817-581-4354
Elysium Salon & Spa,973-694-1555
Executive Health and Wellness of Texas,817-581-7246
Salons on the Hill,817-995-9270
Bex Laser Aesthetix,682-227-6110
Skin MD,817-595-4500
"Trinity Aesthetics & Laser, LLP",817-310-6624
Four Season Dallas,
Four Seasons Resort and Club- Dallas,972-717-0700
The Paragon Plastic Surgery & Med Spa,817-473-2120
KE Eye Centers of TX,817-717-6364
Serendipity Day Spa,678-557-4964
Corinthian Wellness Spa,817-416-9366
Hidden Door Med Spa Southlake,817-488-8848
Hidden Door Med Spa Skinceuticals Aesthetic Center,817-988-3335
Spa on the Square,817-488-8848
Southlake Plastic Surgery,(817) 442-8900
North Texas Plastic Surgery,817-416-8080
Skin RX by Roxanne,682-738-0466
Sedo Laser,214-686-7826
Carrie Morris MD,972-922-3016
Greer Dermatology,(817) 550-7125
PDP of Texas PLLC - Southlake Dermatology,214-751-2381
Lifestream Spa & Boutique,972-304-6400
Compassion Dermatology PLCC,817-380-5911
Resurgence Wellness,817-402-0013
Anthony Tran MD,862-557-6179
ME-HD,817-741-6111
Metroplex Dermatology,817-704-4777
Dee Dee Ruelas,817-614-0812
The Med Spa of Flower Mound,972-523-1399
Kleiman Evangelista Eye Center,817-784-0222
Derma Clinic,817-337-5888
Nouveau Med Spa,253-358-3667
Prism Dermatology,940-393-9582
Daireds Salon & Spa Pangea,(817) 465-9797
